,Päivämäärä,Kaisaniemi/Eläintarhanlahti,weekday,day,year,hour,month,Clouds,AirPhPa,RHpercent,RainmmH,Snowcm,ToC,DewToC,Visibilitym,Winddirdeg,Gustms,Windms
0,ti 1 tammi 2019 00:00,2,ti,1,2019,0,1,7,1008.0,88,0.0,0,1.3,-0.5,4100,207,15.05,9.05
1,ti 1 tammi 2019 01:00,1,ti,1,2019,1,1,7,1005.5,95,1.0,0,0.8,0.0,2140,200,13.05,7.06
2,ti 1 tammi 2019 02:00,1,ti,1,2019,2,1,7,1003.1,95,0.07,2,1.1,0.03,4420,204,15.0,8.06
3,ti 1 tammi 2019 03:00,0,ti,1,2019,3,1,8,1000.9,94,0.05,2,1.4,0.05,4780,207,13.09,8.04
4,ti 1 tammi 2019 04:00,0,ti,1,2019,4,1,8,998.7,95,0.02,2,2.0,1.03,4910,210,13.01,8.0
5,ti 1 tammi 2019 05:00,0,ti,1,2019,5,1,8,996.5,96,0.0,0,2.5,1.09,5930,212,12.06,8.03
6,ti 1 tammi 2019 06:00,1,ti,1,2019,6,1,8,994.2,96,0.0,0,2.8,2.03,7050,209,13.04,8.0
7,ti 1 tammi 2019 07:00,2,ti,1,2019,7,1,8,991.9,97,0.0,0,3.0,2.06,6260,206,12.04,7.06
8,ti 1 tammi 2019 08:00,0,ti,1,2019,8,1,8,990.0,97,0.0,0,3.1,2.06,4260,202,13.01,8.02
9,ti 1 tammi 2019 09:00,0,ti,1,2019,9,1,8,988.1,97,0.0,0,3.2,2.08,4690,195,11.08,6.04
10,ti 1 tammi 2019 10:00,1,ti,1,2019,10,1,8,986.4,97,0.01,0,3.1,2.07,3840,183,9.08,5.09
11,ti 1 tammi 2019 11:00,2,ti,1,2019,11,1,8,984.7,97,0.04,0,3.2,2.07,4310,186,9.04,5.09
12,ti 1 tammi 2019 12:00,5,ti,1,2019,12,1,8,983.2,97,0.04,0,3.6,3.02,5950,192,10.0,5.04
13,ti 1 tammi 2019 13:00,2,ti,1,2019,13,1,8,981.7,97,0.0,0,4.0,3.05,14420,200,10.06,5.07
