,Unnamed: 0,Päivämäärä,Kaisaniemi/Eläintarhanlahti,weekday,day,year,hour,month,Clouds,AirPhPa,RHpercent,RainmmH,Snowcm,ToC,DewToC,Visibilitym,Winddirdeg,Gustms,Windms,bikesAvailable,spacesAvailable
0,0,ke 3 huhti 2019 00:00,5,ke,3,2019,0,4,0,1026.1,60,0.0,0,3.4,-3.5,50000,172,5.02,3.05,12.916666666666664,9.083333333333334
1,1,ke 3 huhti 2019 01:00,2,ke,3,2019,1,4,0,1026.2,65,0.0,0,2.6,-3.2,50000,174,4.01,2.08,11.5,10.666666666666666
2,2,ke 3 huhti 2019 02:00,1,ke,3,2019,2,4,0,1026.1,68,0.0,0,2.5,-2.8,50000,157,4.02,2.08,17.0,6.0
3,3,ke 3 huhti 2019 13:00,55,ke,3,2019,13,4,0,1024.2,43,0.0,0,8.0,-3.8,46450,173,8.06,4.07,17.272727272727273,4.727272727272728
4,4,ke 3 huhti 2019 14:00,51,ke,3,2019,14,4,0,1023.8,41,0.0,0,9.2,-3.5,35530,169,8.04,4.03,14.666666666666664,7.333333333333332
5,5,ke 3 huhti 2019 15:00,125,ke,3,2019,15,4,0,1023.2,36,0.0,0,10.1,-4.1,46880,140,6.03,3.05,12.666666666666664,9.333333333333334
6,6,ke 3 huhti 2019 16:00,180,ke,3,2019,16,4,0,1022.8,39,0.0,0,9.5,-3.9,40730,115,5.08,3.07,12.25,9.75
7,7,ke 3 huhti 2019 17:00,153,ke,3,2019,17,4,0,1022.1,41,0.0,0,9.1,-3.4,50000,117,5.07,4.02,11.833333333333336,10.166666666666666
8,8,ke 3 huhti 2019 18:00,92,ke,3,2019,18,4,0,1021.3,47,0.0,0,8.4,-2.2,46020,116,4.01,2.09,9.545454545454543,12.454545454545455
9,9,ke 3 huhti 2019 19:00,86,ke,3,2019,19,4,0,1020.5,53,0.0,0,7.3,-1.8,45930,108,4.01,2.09,14.0,8.0
10,10,ke 3 huhti 2019 20:00,46,ke,3,2019,20,4,0,1020.3,61,0.0,0,5.6,-1.4,49580,105,3.06,2.06,14.818181818181818,7.1818181818181825
11,11,ke 3 huhti 2019 21:00,26,ke,3,2019,21,4,0,1020.1,49,0.0,0,7.2,-2.7,50000,163,9.0,5.04,17.0,5.545454545454546
12,12,ke 3 huhti 2019 22:00,11,ke,3,2019,22,4,0,1020.1,41,0.0,0,8.4,-4.2,50000,168,9.04,5.09,17.25,4.833333333333333
13,13,ke 3 huhti 2019 23:00,4,ke,3,2019,23,4,0,1020.3,46,0.0,0,7.2,-3.7,50000,171,9.02,5.03,17.0,5.0
14,14,to 4 huhti 2019 00:00,4,to,4,2019,0,4,0,1020.6,52,0.0,0,6.1,-3.1,50000,165,7.09,4.09,17.75,6.25
15,15,to 4 huhti 2019 01:00,2,to,4,2019,1,4,0,1020.6,49,0.0,0,6.3,-3.7,50000,168,7.06,4.01,15.166666666666664,8.833333333333334
16,16,to 4 huhti 2019 02:00,1,to,4,2019,2,4,3,1020.5,48,0.0,0,6.1,-4.0,50000,176,7.09,4.07,12.083333333333336,11.916666666666664
17,17,to 4 huhti 2019 03:00,0,to,4,2019,3,4,0,1020.5,54,0.0,0,5.4,-3.3,50000,175,7.04,4.06,16.75,6.25
18,18,to 4 huhti 2019 04:00,1,to,4,2019,4,4,1,1020.2,56,0.0,0,4.7,-3.3,50000,173,7.06,4.02,16.0,7.0
